Xn,Yn,Isyn1,WWx,Ax,Dx,RMtrx,Prelx,Inhx,time
0.24024134333796343,0.10691299251801659,7.174869800545564e-06,6.804110633205443e-05,0.010771997809008883,6.376546649583086e-06,0.2636184185676316,9.999999999999999e-05,0.0006987066880095206,13285000
0.23890805982976393,0.1058438625928364,7.168216391879823e-06,6.804110633981981e-05,0.010664277830918792,6.057719317104016e-06,0.2636503725212124,9.999999999999999e-05,0.0006949305137568592,13295000
0.2375774178573946,0.10478542396690801,7.16127249456476e-06,6.804110634712316e-05,0.010557635052609603,5.7548333512489e-06,0.26368224658990924,9.999999999999999e-05,0.000691160377630048,13305000
0.2362494979184897,0.10373756972723891,7.15404164441455e-06,6.804110635399196e-05,0.010452058702083506,5.467091683686541e-06,0.2637140409734344,9.999999999999999e-05,0.0006873965316772578,13315000
0.2349243786365771,0.1027001940299665,7.146527364968842e-06,6.804110636045207e-05,0.010347538115062668,5.193737099502299e-06,0.2637457558710008,9.999999999999999e-05,0.0006836392223618479,13325000
0.23360213679051095,0.10167319208966683,7.138733167090735e-06,6.80411063665278e-05,0.01024406273391204,4.934050244527269e-06,0.2637773914813232,9.999999999999999e-05,0.0006798886906481084,13335000
0.23228284734350246,0.10065646016877014,7.130662548576977e-06,6.804110637224204e-05,0.010141622106572917,4.687347732300991e-06,0.2638089480026198,9.999999999999999e-05,0.0006761451720858579,13345000
0.23096658347175508,0.09964989556708242,7.122318993780132e-06,6.804110637761626e-05,0.010040205885507185,4.452980345686028e-06,0.2638404256326131,9.999999999999999e-05,0.0006724088968939057,13355000
0.22965341659270827,0.09865339661141159,7.1137059732424875e-06,6.804110638267073e-05,0.009939803826652112,4.230331328401811e-06,0.26387182456853153,9.999999999999999e-05,0.0006686800900423972,13365000
0.22834341639289524,0.09766686264529748,7.104826943341485e-06,6.804110638742445e-05,0.00984040578838559,4.018814761981806e-06,0.2639031450071101,9.999999999999999e-05,0.0006649589713340542,13375000
0.22703665085541924,0.09669019401884449,7.095685345946446e-06,6.804110639189532e-05,0.009742001730501732,3.8178740238828e-06,0.2639343871445923,9.999999999999999e-05,0.0006612457554843229,13385000
0.2257331862870534,0.09572329207865604,7.086284608086361e-06,6.804110639610018e-05,0.009644581713196713,3.626980322688746e-06,0.2639655511767307,9.999999999999999e-05,0.0006575406522004461,13395000
0.22443308734496936,0.09476605915786945,7.0766281416285675e-06,6.804110640005483e-05,0.009548135896064743,3.4456313065543944e-06,0.26399663729878886,9.999999999999999e-05,0.0006538438662594705,13405000
0.22313641706309834,0.09381839856629073,7.066719342968054e-06,6.804110640377419e-05,0.009452654537104092,3.2733497412267604e-06,0.2640276457055418,0.0020253302183480537,0.000650155597585203,13415000
