time_in_femtoseconds,tp,td,Xn,Yn,Isyn1,WWx,Ax,Dx,RMtrx,Prelx,Inhx
35355000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8572980565883406e-15,0.00021902081350788104,0.0013451803061606082,1.5608906307466645e-10,0.276347943435548,0.07496652416785134,0.00016145274393282626
35365000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8616784885194424e-15,0.00021902081350788104,0.00133172848621878,1.482846106148226e-10,0.27634807009542195,0.07578252295501599,0.00016021371015984446
35375000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8660589204505445e-15,0.00021902081350788104,0.0013184111841853317,1.4087037383907622e-10,0.27634819675529587,0.07660615486222967,0.00015898331294880808
35385000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8704393523816466e-15,0.00021902081350788104,0.0013052270612840223,1.3382685445323294e-10,0.2763483234151698,0.07743748321942935,0.00015776150136801232
35395000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8748197843127483e-15,0.00021902081350788104,0.0012921747787386112,1.2713551173057128e-10,0.2763484500750437,0.07827660488416567,0.00015654822448575234
35405000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8792002162438504e-15,0.00021902081350788104,0.0012792530268766888,1.2077873475626376e-10,0.27634857673491764,0.07912357946108518,0.00015534343864628117
35415000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.883580648174952e-15,0.00021902081350788104,0.0012664604960258452,1.147398077329032e-10,0.27634870339479156,0.07997851125831935,0.000154147092917894
35425000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8879610801060543e-15,0.00021902081350788104,0.0012537958765136711,1.090028197748712e-10,0.2763488300546655,0.08084146733109555,0.0001529591400068649
35435000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.8923415120371564e-15,0.00021902081350788104,0.0012412579168754195,1.0355267878612764e-10,0.2763489567145394,0.08171253708638361,0.00015177953261946798
35445000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.896721943968258e-15,0.00021902081350788104,0.001228845336542512,9.837504207126336e-11,0.27634908337441333,0.08259181365644376,0.00015060821982399843
35455000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9011023758993602e-15,0.00021902081350788104,0.001216556884050202,9.345628857992125e-11,0.27634921003428725,0.08347936782179378,0.00014944515796470927
35465000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9054828078304624e-15,0.00021902081350788104,0.001204391307933742,8.878347727342782e-11,0.2763493366941612,0.08437530016527475,0.00014829029610989567
35475000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.909863239761564e-15,0.00021902081350788104,0.001192347385832217,8.434430549142485e-11,0.2763494633540351,0.08527968891798524,0.00014714358696583173
35485000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.914243671692666e-15,0.00021902081350788104,0.001180423895384711,8.012708813518518e-11,0.276349590013909,0.0861926309374759,0.00014600498323879155
35495000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.918624103623768e-15,0.00021902081350788104,0.0011686196433341397,7.612073685092856e-11,0.27634971667378294,0.08711421563071656,0.00014487443763504923
35505000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.92300453555487e-15,0.00021902081350788104,0.001156933436423419,7.231469757976898e-11,0.27634984333365686,0.08804452867938664,0.00014375190286087887
35515000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.927384967485972e-15,0.00021902081350788104,0.0011453640813954646,6.869896443550421e-11,0.27634996254294997,0.08898366321574638,0.00014263733162255457
35525000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9317649759004993e-15,0.00021902081350788104,0.0011339104432008548,6.526401725456321e-11,0.27635008175224307,0.08993172727321766,0.00014153067662635042
35535000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9361454078316014e-15,0.00021902081350788104,0.0011225713285825053,6.200081465711136e-11,0.2763502009615362,0.09088879908289907,0.00014043189057854052
35545000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9405258397627035e-15,0.00021902081350788104,0.0011113456024909943,5.890077323036632e-11,0.2763503201708293,0.09185497922763167,0.00013934092982337788
35555000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9449062716938052e-15,0.00021902081350788104,0.0011002321298769005,5.5955736303571686e-11,0.2763504393801224,0.09283037201554692,0.00013825773979117876
35565000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9492867036249073e-15,0.00021902081350788104,0.0010892298047946334,5.315794966186547e-11,0.2763505585894155,0.09381506685361465,0.00013718228410215404
35575000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9536671355560095e-15,0.00021902081350788104,0.0010783374921947714,5.0500051137937987e-11,0.2763506777987086,0.09480917177525675,0.00013611451182459888
35585000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.958047567487111e-15,0.00021902081350788104,0.0010675541152355555,4.797504979534767e-11,0.2763507970080017,0.09581277991273343,0.00013505437566478738
35595000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9624279994182133e-15,0.00021902081350788104,0.0010568785679713954,4.557629817294212e-11,0.2763509162172948,0.096826003024757,0.00013400182832899363
35605000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.966808431349315e-15,0.00021902081350788104,0.001046309773560532,4.329748187651607e-11,0.2763510354265879,0.09784893796887809,0.00013295682616147066
35615000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.971188863280417e-15,0.00021902081350788104,0.0010358466842650378,4.113260917046921e-11,0.276351154635881,0.09888168905322817,0.00013191932550647148
35625000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9755692952115192e-15,0.00021902081350788104,0.0010254882232431537,3.9075979752779963e-11,0.2763512738451741,0.09992436803651952,0.0001308892827082491
35635000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.979949727142621e-15,0.00021902081350788104,0.001015233342756952,3.712218128555807e-11,0.2763513930544672,0.10097707922688362,0.0001298666468350987
35645000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.984330159073723e-15,0.00021902081350788104,0.0010050809950685052,3.52660720478078e-11,0.2763515122637603,0.10203993065774233,0.00012885137423127328
35655000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.9887105910048252e-15,0.00021902081350788104,0.0009950301906475481,3.3502767057638464e-11,0.2763516314730534,0.10311304153838877,0.00012784342124102588
35665000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.993091022935927e-15,0.00021902081350788104,0.0009850798817561532,3.182762766392233e-11,0.2763517506823465,0.10419651245166398,0.0001268427405706306
35675000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,1.997471454867029e-15,0.00021902081350788104,0.0009752290934159709,3.0236247668505156e-11,0.2763518698916396,0.10529045888157065,0.00012584928856434043
35685000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0018518867981308e-15,0.00021902081350788104,0.0009654767924409894,2.8724437713693056e-11,0.2763519891009327,0.10639500376269233,0.0001248630252043873
35695000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.006232318729233e-15,0.00021902081350788104,0.0009558220184047749,2.728821660863406e-11,0.27635210831022583,0.10751024767787003,0.00012388389955906643
35705000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.010612750660335e-15,0.00021902081350788104,0.0009462637963289782,2.5923806125147095e-11,0.27635222751951893,0.10863632846284892,0.0001229118716106097
35715000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0149931825914367e-15,0.00021902081350788104,0.0009368011512352497,2.4627615385208818e-11,0.27635234672881204,0.10977335042576046,0.00012194689588428072
35725000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.019373614522539e-15,0.00021902081350788104,0.0009274331372490716,2.3396233922058905e-11,0.27635246593810514,0.11092144395176899,0.00012098892872433245
35735000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.023754046453641e-15,0.00021902081350788104,0.00091815879394401,2.2226423006581618e-11,0.27635258514739824,0.11208072825016761,0.00012003792647501794
35745000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0281344783847427e-15,0.00021902081350788104,0.0009089772045493784,2.1115101769516353e-11,0.27635270435669135,0.11325132625553984,0.00011909384548059018
35755000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0325149103158448e-15,0.00021902081350788104,0.0008998874231906586,2.005934720145764e-11,0.27635282356598445,0.1144333646277596,0.0001181566420853022
35765000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.036895342246947e-15,0.00021902081350788104,0.0008908885476490796,1.905638027506568e-11,0.27635293532469674,0.11562697375199121,0.00011722627445239647
35775000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0412757741780486e-15,0.00021902081350788104,0.0008819796611539546,1.810356074089529e-11,0.276353047083409,0.1168322765628182,0.00011630269710713654
35785000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0456562061091507e-15,0.00021902081350788104,0.0008731598614865127,1.719838192322487e-11,0.2763531588421213,0.11804940717069529,0.00011538587003175434
35795000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.050036638040253e-15,0.00021902081350788104,0.0008644282609798986,1.6338462046437967e-11,0.2763532706008336,0.11927849596078682,0.00011447574775151344
35805000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0544170699713546e-15,0.00021902081350788104,0.0008557839719672567,1.5521539030852252e-11,0.2763533823595459,0.12051968449412837,0.00011357229024864575
35815000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0587975019024567e-15,0.00021902081350788104,0.0008472261213336474,1.4745461819101088e-11,0.27635349411825816,0.12177310315588424,0.00011267545386740429
35825000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0631779338335584e-15,0.00021902081350788104,0.0008387538505160466,1.400818950877169e-11,0.27635360587697044,0.1230388860565092,0.00011178519859002099
35835000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0675583657646605e-15,0.00021902081350788104,0.0008303663009514303,1.3307780076701198e-11,0.2763537176356827,0.12431718593291002,0.00011090147894175941
35845000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0719387976957627e-15,0.00021902081350788104,0.0008220626286286898,1.2642391246338506e-11,0.276353829394395,0.12560812758231543,0.00011002425490485146
35855000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0763192296268644e-15,0.00021902081350788104,0.0008138420040886328,1.2010271814125858e-11,0.2763539411531073,0.12691187491750344,0.0001091534864615291
35865000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0806996615579665e-15,0.00021902081350788104,0.0008057035833201507,1.1409758180051472e-11,0.2763540529118196,0.12822855646099318,0.00010828913177503479
35875000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0850800934890682e-15,0.00021902081350788104,0.0007976465368640508,1.0839270010840346e-11,0.27635416467053187,0.12955832867498185,0.000107431149008611
35885000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0894605254201703e-15,0.00021902081350788104,0.0007896700643649716,1.029730677050688e-11,0.27635427642924415,0.1309013368457954,0.0001065794963255002
35895000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.093840533834698e-15,0.00021902081350788104,0.0007817733654675518,9.782441648821998e-12,0.27635438818795643,0.13225773743563107,0.00010573413370793432
35905000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.0982209657657996e-15,0.00021902081350788104,0.0007739556252645142,9.29331982658945e-12,0.2763544999466687,0.13362768318139562,0.00010489501931915583
35915000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1026013976969017e-15,0.00021902081350788104,0.0007662160579524132,8.828654138836623e-12,0.276354611705381,0.13501132309470543,0.00010406211496038612
35925000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.106981829628004e-15,0.00021902081350788104,0.0007585538922797186,8.38722160536716e-12,0.2763547234640933,0.13640882853891934,0.00010323537879486766
35935000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1113622615591055e-15,0.00021902081350788104,0.0007509683424429846,7.967860828675446e-12,0.2763548352228056,0.13782035225094413,0.00010241477080483237
35945000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1157426934902076e-15,0.00021902081350788104,0.000743458651742597,7.569467657137398e-12,0.27635494698151786,0.13924605814355784,0.00010160025279150166
35955000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1201231254213098e-15,0.00021902081350788104,0.0007360240634789411,7.19099475132954e-12,0.27635505874023014,0.14068610640424806,0.00010079178291811798
35965000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1245035573524115e-15,0.00021902081350788104,0.0007286638209524027,6.831445078815201e-12,0.2763551704989424,0.14214066467108322,9.998932298590273e-05
35975000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1288839892835136e-15,0.00021902081350788104,0.0007213771820152829,6.489872781506349e-12,0.2763552822576547,0.143609911758003,9.919283297708784e-05
35985000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1332644212146153e-15,0.00021902081350788104,0.000714163404519883,6.165379272535308e-12,0.276355394016367,0.14509400785249496,9.840227287390523e-05
35995000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1376448531457174e-15,0.00021902081350788104,0.0007070217608704198,5.8571102004883124e-12,0.2763555057750793,0.14659313176849878,9.76176044775763e-05
36005000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1420252850768196e-15,0.00021902081350788104,0.000699951538023026,5.564254582043667e-12,0.27635561753379156,0.14810746977053493,9.683878958932242e-05
36015000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1464057170079213e-15,0.00021902081350788104,0.000692952022933834,5.286041766205299e-12,0.27635572929250385,0.14963718949667185,9.606579001036498e-05
36025000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1507861489390234e-15,0.00021902081350788104,0.0006860225025589765,5.02173969957908e-12,0.2763558336006353,0.15118247348613958,9.529856572293593e-05
36035000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1551665808701255e-15,0.00021902081350788104,0.0006791622784065017,4.770652757968218e-12,0.2763559379087668,0.15274351545403944,9.453708034724609e-05
36045000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1595470128012272e-15,0.00021902081350788104,0.0006723706519844578,4.5321200116495774e-12,0.27635604221689825,0.15432049048902066,9.378129568451686e-05
36055000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1639274447323293e-15,0.00021902081350788104,0.0006656469393528086,4.3055139243309144e-12,0.2763561465250297,0.15591359603147495,9.303117353596962e-05
36065000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.168307876663431e-15,0.00021902081350788104,0.0006589904711234338,4.0902381847462765e-12,0.2763562508331612,0.1575230257965036,9.228667388383631e-05
36075000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.172688308594533e-15,0.00021902081350788104,0.0006524005633562971,3.8857264056132385e-12,0.27635635514129264,0.1591489772244983,9.154776216731722e-05
36085000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1770687405256353e-15,0.00021902081350788104,0.0006458765612151939,3.691439955228301e-12,0.2763564594494241,0.16079163285468914,9.081440018763375e-05
36095000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.181449172456737e-15,0.00021902081350788104,0.0006394177953120036,3.5068681743073462e-12,0.2763565637575556,0.16245121247921027,9.008654974600728e-05
36105000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.185829604387839e-15,0.00021902081350788104,0.0006330236108105215,3.3315246896978175e-12,0.27635666806568704,0.16412790608787256,8.936417628163811e-05
36115000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.1902100363189413e-15,0.00021902081350788104,0.0006266933674264585,3.164948498581019e-12,0.2763567723738185,0.16582193347281018,8.864724159574763e-05
36125000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.194590468250043e-15,0.00021902081350788104,0.0006204264248755254,3.006701149546129e-12,0.27635687668194997,0.16753350697557648,8.793570748955723e-05
36135000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.198970900181145e-15,0.00021902081350788104,0.0006142221574253487,2.8563660920688223e-12,0.27635698099008144,0.16926282403656318,8.722954122125667e-05
36145000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2033513321122472e-15,0.00021902081350788104,0.000608079939343555,2.7135478091494276e-12,0.2763570852982129,0.17101010817319479,8.652870459206733e-05
36155000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.207731764043349e-15,0.00021902081350788104,0.0006019991303458551,2.5778705162701633e-12,0.27635718960634437,0.1727755829028959,8.583316122220006e-05
36165000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.212112195974451e-15,0.00021902081350788104,0.0005959791338037069,2.448977077192839e-12,0.27635729391447583,0.1745594717430911,8.514287655085517e-05
36175000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2164926279055528e-15,0.00021902081350788104,0.0005900193385366526,2.326528136597013e-12,0.2763573982226073,0.17636199821120496,8.445781419824349e-05
36185000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.220873059836655e-15,0.00021902081350788104,0.0005841191479161501,2.2102016863990704e-12,0.27635750253073876,0.17818338954995244,8.377793778457587e-05
36195000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.225253491767757e-15,0.00021902081350788104,0.0005782779507617415,2.0996915478690018e-12,0.27635760683887023,0.18002388417791976,8.310321456804208e-05
36205000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2296339236988587e-15,0.00021902081350788104,0.0005724951649968003,1.9947069379494825e-12,0.2763577111470017,0.1818837167884027,8.243360816885295e-05
36215000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.234014355629961e-15,0.00021902081350788104,0.0005667702085447001,1.8949716018940316e-12,0.27635781545513316,0.1837631257999875,8.176908220721933e-05
36225000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2383947875610626e-15,0.00021902081350788104,0.0005611024993288145,1.8002232711658592e-12,0.2763579197632646,0.18566235335655074,8.110960394133099e-05
36235000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2427752194921647e-15,0.00021902081350788104,0.0005554914698244324,1.710212253974877e-12,0.2763580240713961,0.1875816565031307,8.045513881038822e-05
36245000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2471556514232668e-15,0.00021902081350788104,0.0005499365525068432,1.6247017605383864e-12,0.27635812837952756,0.18952127738360397,7.980565225359133e-05
36255000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2515360833543685e-15,0.00021902081350788104,0.0005444371798513361,1.5434668188787777e-12,0.276358232687659,0.19148147676829924,7.916110971014063e-05
36265000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2559165152854706e-15,0.00021902081350788104,0.0005389927988851159,1.4662936243021496e-12,0.2763583369957905,0.19346251542754517,7.852147843822586e-05
36275000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.260296523699998e-15,0.00021902081350788104,0.0005336028711873031,1.3929789972971573e-12,0.27635844130392195,0.19546465040638,7.788672205805788e-05
36285000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2646769556311e-15,0.00021902081350788104,0.0005282668437851024,1.3233301666945526e-12,0.2763585456120534,0.19748815365100364,7.725680964681591e-05
36295000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.269057387562202e-15,0.00021902081350788104,0.0005229841782576346,1.2571637938851126e-12,0.2763586499201849,0.1995333082834872,7.663170664370024e-05
36305000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.273437819493304e-15,0.00021902081350788104,0.0005177543361840199,1.1943057559791793e-12,0.27635875422831635,0.20160036762357852,7.601138030690064e-05
36315000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.277818251424406e-15,0.00021902081350788104,0.0005125767936952946,1.134590603705508e-12,0.276358851085867,0.2036896334198008,7.539579789460686e-05
36325000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.282198683355508e-15,0.00021902081350788104,0.000507451026922495,1.0778611277303478e-12,0.27635894794341764,0.20580137389306347,7.478492484601922e-05
36335000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.28657911528661e-15,0.00021902081350788104,0.000502376511996657,1.02396814181698e-12,0.2763590448009683,0.20793589451718014,7.417873023831692e-05
36345000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.2909595472177118e-15,0.00021902081350788104,0.0004973527396007326,9.72769832304338e-13,0.27635914165851894,0.21009347096364112,7.357718132968974e-05
36355000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.295339979148814e-15,0.00021902081350788104,0.0004923792149695893,9.241314328463169e-13,0.2763592385160696,0.21227441988213122,7.298024537832742e-05
36365000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.299720411079916e-15,0.00021902081350788104,0.0004874554287861788,8.779250075713118e-13,0.27635933537362023,0.21447903557059275,7.238789146140919e-05
36375000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.3041008430110177e-15,0.00021902081350788104,0.00048258087173345303,8.340288547709534e-13,0.2763594322311709,0.21670762722812972,7.180008501813535e-05
36385000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.30848127494212e-15,0.00021902081350788104,0.00047775506359819513,7.923275069001071e-13,0.2763595290887215,0.21896051150442694,7.121679694467458e-05
36395000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.3128617068732216e-15,0.00021902081350788104,0.0004729775096152726,7.527112426858376e-13,0.27635962594627217,0.2212380050491692,7.063799449921663e-05
36405000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.3172421388043237e-15,0.00021902081350788104,0.00046824772957146854,7.150757618667183e-13,0.2763597228038228,0.22354043196262216,7.006364493995127e-05
36415000000,0,0,1.0000008958391577e-11,1.0000008091029736e-11,2.3216225707354254e-15,0.00021902081350788104,0.000463565250529524,6.793220767726012e-13,0.27635981966137346,0.2258681163450514,6.949372098203661e-05
